dst,distinct_drugs,admissions,patients,disease_label
icd:10:F0391,3,40,37,"Unspecified dementia, unspecified severity, with behavioral disturbance"
icd:10:K222,3,40,37,Esophageal obstruction
icd:10:M4316,3,40,40,"Spondylolisthesis, lumbar region"
icd:10:Z4502,3,40,40,Encounter for adjustment and management of automatic implantable cardiac defibrillator
icd:9:73007,3,40,40,"Acute osteomyelitis, ankle and foot"
icd:9:80702,3,40,40,Closed fracture of two ribs
icd:9:V5332,3,40,39,Fitting and adjustment of automatic implantable cardiac defibrillator
icd:10:C9202,3,39,30,"Acute myeloblastic leukemia, in relapse"
icd:10:D469,3,39,36,"Myelodysplastic syndrome, unspecified"
icd:10:I2609,3,39,39,Other pulmonary embolism with acute cor pulmonale
icd:10:J449,3,39,36,"Chronic obstructive pulmonary disease, unspecified"
icd:9:1534,3,39,39,Malignant neoplasm of cecum
icd:10:F259,3,38,33,"Schizoaffective disorder, unspecified"
icd:9:2749,3,38,37,"Gout, unspecified"
icd:9:4148,3,38,38,Other specified forms of chronic ischemic heart disease
icd:9:6930,3,38,38,Dermatitis due to drugs and medicines taken internally
icd:9:71941,3,38,37,"Pain in joint, shoulder region"
icd:9:78651,3,38,38,Precordial pain
icd:9:80704,3,38,38,Closed fracture of four ribs
icd:10:I6202,3,37,37,Nontraumatic subacute subdural hemorrhage
icd:10:K122,3,37,37,Cellulitis and abscess of mouth
icd:10:T8469XA,3,37,34,"Infection and inflammatory reaction due to internal fixation device of other site, initial encounter"
icd:9:1541,3,37,35,Malignant neoplasm of rectum
icd:9:28262,3,37,20,Hb-SS disease with crisis
icd:9:78820,3,37,37,"Retention of urine, unspecified"
icd:9:80705,3,37,37,Closed fracture of five ribs
icd:10:A411,3,36,36,Sepsis due to other specified staphylococcus
icd:10:J1000,3,36,36,Influenza due to other identified influenza virus with unspecified type of pneumonia
icd:9:1912,3,36,33,Malignant neoplasm of temporal lobe
icd:9:5950,3,36,35,Acute cystitis
icd:9:7243,3,36,36,Sciatica
icd:9:79311,3,36,36,Solitary pulmonary nodule
icd:9:80121,3,36,36,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness"
icd:10:I70212,3,35,35,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg"
icd:9:80701,3,35,34,Closed fracture of one rib
icd:9:85206,3,35,35,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"
icd:9:85226,3,35,35,"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"
icd:10:E10621,3,34,26,Type 1 diabetes mellitus with foot ulcer
icd:10:H81399,3,34,33,"Other peripheral vertigo, unspecified ear"
icd:9:55010,3,34,34,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified (not specified as recurrent)"
icd:10:I70213,3,33,32,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs"
icd:9:8600,3,33,33,Traumatic pneumothorax without mention of open wound into thorax
icd:10:I70235,3,31,30,Atherosclerosis of native arteries of right leg with ulceration of other part of foot
icd:10:S72011A,3,30,30,"Unspecified intracapsular fracture of right femur, initial encounter for closed fracture"
icd:10:K7040,2,170,138,Alcoholic hepatic failure without coma
icd:10:K7011,2,126,119,Alcoholic hepatitis with ascites
icd:10:K7030,2,111,98,Alcoholic cirrhosis of liver without ascites
icd:9:07071,2,111,90,Unspecified viral hepatitis C with hepatic coma
icd:10:K652,2,99,94,Spontaneous bacterial peritonitis
icd:10:K7460,2,96,91,Unspecified cirrhosis of liver
icd:10:K3184,2,93,41,Gastroparesis
icd:10:K7010,2,90,79,Alcoholic hepatitis without ascites
icd:10:J948,2,77,64,Other specified pleural conditions
icd:10:T8641,2,72,57,Liver transplant rejection
icd:10:I351,2,68,68,Nonrheumatic aortic (valve) insufficiency
icd:9:07054,2,60,47,Chronic hepatitis C without mention of hepatic coma
icd:10:J8489,2,59,56,Other specified interstitial pulmonary diseases
icd:9:5363,2,56,34,Gastroparesis
icd:10:I341,2,55,54,Nonrheumatic mitral (valve) prolapse
icd:9:0382,2,55,55,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
icd:9:99671,2,55,52,Other complications due to heart valve prosthesis
icd:10:K420,2,54,52,"Umbilical hernia with obstruction, without gangrene"
icd:10:Z432,2,54,54,Encounter for attention to ileostomy
icd:10:K7581,2,51,48,Nonalcoholic steatohepatitis (NASH)
icd:9:570,2,51,51,Acute and subacute necrosis of liver
icd:9:40493,2,50,49,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
icd:10:K859,2,48,45,"Acute pancreatitis, unspecified"
icd:10:A0811,2,47,43,Acute gastroenteropathy due to Norwalk agent
icd:10:K766,2,47,47,Portal hypertension
icd:10:N3090,2,47,47,"Cystitis, unspecified without hematuria"
icd:9:99602,2,47,42,Mechanical complication due to heart valve prosthesis
icd:10:K8020,2,45,45,Calculus of gallbladder without cholecystitis without obstruction
icd:9:41021,2,45,45,"Acute myocardial infarction of inferolateral wall, initial episode of care"
icd:9:45340,2,44,44,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
icd:9:7455,2,44,43,Ostium secundum type atrial septal defect
icd:9:07070,2,43,43,Unspecified viral hepatitis C without hepatic coma
icd:9:27739,2,43,30,Other amyloidosis
icd:10:K8070,2,42,42,Calculus of gallbladder and bile duct without cholecystitis without obstruction
icd:9:42841,2,42,42,Acute combined systolic and diastolic heart failure
icd:10:I4901,2,41,40,Ventricular fibrillation
icd:10:I7103,2,41,38,Dissection of thoracoabdominal aorta
icd:10:K8031,2,41,41,"Calculus of bile duct with cholangitis, unspecified, with obstruction"
icd:10:T8611,2,41,35,Kidney transplant rejection
icd:9:3942,2,41,40,Mitral stenosis with insufficiency
icd:9:5531,2,41,41,Umbilical hernia without mention of obstruction or gangrene
icd:9:9982,2,41,41,"Accidental puncture or laceration during a procedure, not elsewhere classified"
icd:9:44103,2,40,39,"Dissection of aorta, thoracoabdominal"
icd:9:5550,2,40,34,Regional enteritis of small intestine
icd:10:C8338,2,39,36,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
icd:9:39891,2,39,34,Rheumatic heart failure (congestive)
icd:9:51902,2,39,31,Mechanical complication of tracheostomy
icd:10:R1031,2,38,35,Right lower quadrant pain
icd:10:K567,2,37,36,"Ileus, unspecified"
icd:10:M8088XA,2,37,35,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
icd:9:1561,2,37,33,Malignant neoplasm of extrahepatic bile ducts
icd:10:K8689,2,36,32,Other specified diseases of pancreas
icd:10:T83518A,2,36,33,"Infection and inflammatory reaction due to other urinary catheter, initial encounter"
icd:9:5569,2,36,31,"Ulcerative colitis, unspecified"
icd:10:I052,2,35,32,Rheumatic mitral stenosis with insufficiency
icd:10:I201,2,35,33,Angina pectoris with documented spasm
icd:10:I421,2,35,33,Obstructive hypertrophic cardiomyopathy
icd:10:J9691,2,35,35,"Respiratory failure, unspecified with hypoxia"
icd:10:K8580,2,35,30,Other acute pancreatitis without necrosis or infection
icd:9:2639,2,35,34,Unspecified protein-calorie malnutrition
icd:9:34540,2,35,32,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
icd:9:43401,2,35,35,Cerebral thrombosis with cerebral infarction
icd:10:J9809,2,34,32,"Other diseases of bronchus, not elsewhere classified"
icd:10:K580,2,34,24,Irritable bowel syndrome with diarrhea
icd:10:K5903,2,34,34,Drug induced constipation
icd:10:K750,2,34,34,Abscess of liver
icd:10:M4626,2,34,26,"Osteomyelitis of vertebra, lumbar region"
icd:10:R042,2,34,34,Hemoptysis
icd:9:57491,2,34,34,"Calculus of gallbladder and bile duct without cholecystitis, with obstruction"
icd:10:I2129,2,33,33,ST elevation (STEMI) myocardial infarction involving other sites
icd:10:I2692,2,33,32,Saddle embolus of pulmonary artery without acute cor pulmonale
icd:10:I4820,2,33,32,"Chronic atrial fibrillation, unspecified"
icd:10:S82852A,2,33,30,"Displaced trimalleolar fracture of left lower leg, initial encounter for closed fracture"
icd:9:2762,2,33,32,Acidosis
icd:9:4372,2,33,31,Hypertensive encephalopathy
icd:9:5130,2,33,31,Abscess of lung
icd:9:V5812,2,33,22,Encounter for antineoplastic immunotherapy
icd:10:A0471,2,32,30,"Enterocolitis due to Clostridium difficile, recurrent"
icd:10:A4150,2,32,32,"Gram-negative sepsis, unspecified"
icd:10:A4152,2,32,32,Sepsis due to Pseudomonas
icd:10:I050,2,32,32,Rheumatic mitral stenosis
icd:10:J704,2,32,30,"Drug-induced interstitial lung disorders, unspecified"
icd:9:2910,2,32,29,Alcohol withdrawal delirium
icd:10:F250,2,31,25,"Schizoaffective disorder, bipolar type"
icd:10:K4090,2,31,31,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
icd:10:K8071,2,31,31,Calculus of gallbladder and bile duct without cholecystitis with obstruction
icd:10:R600,2,31,31,Localized edema
icd:10:S7222XA,2,31,31,"Displaced subtrochanteric fracture of left femur, initial encounter for closed fracture"
icd:10:T85628A,2,31,31,"Displacement of other specified internal prosthetic devices, implants and grafts, initial encounter"
icd:9:42090,2,31,31,"Acute pericarditis, unspecified"
icd:9:57490,2,31,31,"Calculus of gallbladder and bile duct without cholecystitis, without mention of obstruction"
icd:9:71946,2,31,29,"Pain in joint, lower leg"
icd:10:C50911,2,30,29,Malignant neoplasm of unspecified site of right female breast
icd:10:I2720,2,30,26,"Pulmonary hypertension, unspecified"
icd:10:K429,2,30,29,Umbilical hernia without obstruction or gangrene
icd:10:K5650,2,30,29,"Intestinal adhesions [bands], unspecified as to partial versus complete obstruction"
icd:10:K5791,2,30,25,"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding"
icd:10:K863,2,30,28,Pseudocyst of pancreas
icd:10:R000,2,30,29,"Tachycardia, unspecified"
icd:10:T402X1A,2,30,30,"Poisoning by other opioids, accidental (unintentional), initial encounter"
icd:9:29650,2,30,29,"Bipolar I disorder, most recent episode (or current) depressed, unspecified"
icd:10:D5700,2,29,8,"Hb-SS disease with crisis, unspecified"
icd:10:G7001,2,29,27,Myasthenia gravis with (acute) exacerbation
icd:10:G9349,2,29,29,Other encephalopathy
icd:10:I25710,2,29,27,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
icd:10:J8410,2,29,28,"Pulmonary fibrosis, unspecified"
icd:10:K5792,2,29,27,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding"
icd:10:N3000,2,29,28,Acute cystitis without hematuria
icd:10:Z515,2,29,29,Encounter for palliative care
icd:9:20410,2,29,24,"Chronic lymphoid leukemia, without mention of having achieved remission"
icd:9:81201,2,29,28,Closed fracture of surgical neck of humerus
icd:9:99663,2,29,21,"Infection and inflammatory reaction due to nervous system device, implant, and graft"
icd:9:99831,2,29,29,Disruption of internal operation (surgical) wound
icd:10:C562,2,28,27,Malignant neoplasm of left ovary
icd:10:C7949,2,28,27,Secondary malignant neoplasm of other parts of nervous system
icd:10:F419,2,28,26,"Anxiety disorder, unspecified"
icd:10:J84112,2,28,25,Idiopathic pulmonary fibrosis
icd:10:M4856XA,2,28,27,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture"
icd:10:M86171,2,28,26,"Other acute osteomyelitis, right ankle and foot"
icd:10:R188,2,28,26,Other ascites
icd:9:1551,2,28,28,Malignant neoplasm of intrahepatic bile ducts
icd:9:2920,2,28,28,Drug withdrawal
icd:9:3453,2,28,28,Grand mal status
icd:9:34680,2,28,26,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus"
icd:9:3940,2,28,26,Mitral stenosis
icd:9:5368,2,28,27,Dyspepsia and other specified disorders of function of stomach
icd:9:68100,2,28,28,"Cellulitis and abscess of finger, unspecified"
icd:9:72981,2,28,26,Swelling of limb
icd:9:8026,2,28,26,Closed fracture of orbital floor (blow-out)
icd:9:99685,2,28,26,Complications of transplanted bone marrow
icd:9:V5331,2,28,28,Fitting and adjustment of cardiac pacemaker
icd:10:I272,2,27,27,Other secondary pulmonary hypertension
icd:10:K4030,2,27,27,"Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
icd:10:R918,2,27,27,Other nonspecific abnormal finding of lung field
icd:10:S82851A,2,27,27,"Displaced trimalleolar fracture of right lower leg, initial encounter for closed fracture"
icd:10:T82867A,2,27,26,"Thrombosis due to cardiac prosthetic devices, implants and grafts, initial encounter"
icd:9:1913,2,27,23,Malignant neoplasm of parietal lobe
icd:9:30000,2,27,27,"Anxiety state, unspecified"
icd:9:43321,2,27,27,Occlusion and stenosis of vertebral artery with cerebral infarction
icd:9:53010,2,27,27,"Esophagitis, unspecified"
icd:9:57142,2,27,20,Autoimmune hepatitis
icd:9:71106,2,27,22,"Pyogenic arthritis, lower leg"
icd:9:7244,2,27,27,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
icd:10:E11610,2,26,21,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
icd:10:I953,2,26,25,Hypotension of hemodialysis
icd:10:J9383,2,26,26,Other pneumothorax
icd:10:K220,2,26,22,Achalasia of cardia
icd:10:K8030,2,26,25,"Calculus of bile duct with cholangitis, unspecified, without obstruction"
icd:10:S7221XA,2,26,26,"Displaced subtrochanteric fracture of right femur, initial encounter for closed fracture"
icd:10:T82330A,2,26,25,"Leakage of aortic (bifurcation) graft (replacement), initial encounter"
icd:9:08881,2,26,26,Lyme Disease
icd:9:25041,2,26,25,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
icd:9:2830,2,26,20,Autoimmune hemolytic anemias
icd:9:29420,2,26,26,"Dementia, unspecified, without behavioral disturbance"
icd:9:4592,2,26,22,Compression of vein
icd:9:48241,2,26,25,Methicillin susceptible pneumonia due to Staphylococcus aureus
icd:9:78630,2,26,26,"Hemoptysis, unspecified"
icd:10:C713,2,25,20,Malignant neoplasm of parietal lobe
icd:10:C782,2,25,24,Secondary malignant neoplasm of pleura
icd:10:C9110,2,25,19,Chronic lymphocytic leukemia of B-cell type not having achieved remission
icd:10:I619,2,25,25,"Nontraumatic intracerebral hemorrhage, unspecified"
icd:10:K5669,2,25,25,Other intestinal obstruction
icd:10:K767,2,25,24,Hepatorenal syndrome
icd:10:M4807,2,25,25,"Spinal stenosis, lumbosacral region"
icd:10:M549,2,25,23,"Dorsalgia, unspecified"
icd:10:M868X7,2,25,23,"Other osteomyelitis, ankle and foot"
icd:10:Q282,2,25,19,Arteriovenous malformation of cerebral vessels
icd:10:S272XXA,2,25,25,"Traumatic hemopneumothorax, initial encounter"
icd:9:28529,2,25,23,Anemia of other chronic disease
icd:9:4294,2,25,14,Functional disturbances following cardiac surgery
icd:9:73319,2,25,23,Pathologic fracture of other specified site
icd:9:96509,2,25,24,Poisoning by other opiates and related narcotics
icd:9:V580,2,25,12,Encounter for radiotherapy
icd:10:C9002,2,24,20,Multiple myeloma in relapse
icd:10:F312,2,24,20,"Bipolar disorder, current episode manic severe with psychotic features"
icd:10:I6203,2,24,23,Nontraumatic chronic subdural hemorrhage
icd:10:I728,2,24,24,Aneurysm of other specified arteries
icd:10:J471,2,24,23,Bronchiectasis with (acute) exacerbation
icd:10:L03213,2,24,22,Periorbital cellulitis
icd:10:L88,2,24,10,Pyoderma gangrenosum
icd:10:M4722,2,24,24,"Other spondylosis with radiculopathy, cervical region"
icd:10:M47816,2,24,23,"Spondylosis without myelopathy or radiculopathy, lumbar region"
icd:10:T8203XA,2,24,23,"Leakage of heart valve prosthesis, initial encounter"
icd:10:T83022A,2,24,17,"Displacement of nephrostomy catheter, initial encounter"
icd:9:44102,2,24,24,"Dissection of aorta, abdominal"
icd:9:5401,2,24,23,Acute appendicitis with peritoneal abscess
icd:9:72887,2,24,24,Muscle weakness (generalized)
icd:10:E042,2,23,23,Nontoxic multinodular goiter
icd:10:F333,2,23,20,"Major depressive disorder, recurrent, severe with psychotic symptoms"
icd:10:G061,2,23,22,Intraspinal abscess and granuloma
icd:10:G9389,2,23,22,Other specified disorders of brain
icd:10:J09X2,2,23,22,Influenza due to identified novel influenza A virus with other respiratory manifestations
icd:10:M316,2,23,21,Other giant cell arteritis
icd:10:N202,2,23,23,Calculus of kidney with calculus of ureter
icd:10:S72402A,2,23,23,"Unspecified fracture of lower end of left femur, initial encounter for closed fracture"
icd:10:T84021A,2,23,17,"Dislocation of internal left hip prosthesis, initial encounter"
icd:10:T886XXA,2,23,23,"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, initial encounter"
icd:10:Z01810,2,23,23,Encounter for preprocedural cardiovascular examination
icd:9:29689,2,23,23,Other bipolar disorders
icd:9:44020,2,23,23,"Atherosclerosis of native arteries of the extremities, unspecified"
icd:9:56881,2,23,23,Hemoperitoneum (nontraumatic)
icd:9:5779,2,23,23,Unspecified disease of pancreas
icd:9:60000,2,23,23,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
icd:9:8024,2,23,22,Closed fracture of malar and maxillary bones
icd:9:85181,2,23,23,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness"
icd:9:8730,2,23,23,"Open wound of scalp, without mention of complication"
icd:9:92400,2,23,23,Contusion of thigh
icd:10:C50912,2,22,22,Malignant neoplasm of unspecified site of left female breast
icd:10:G912,2,22,22,(Idiopathic) normal pressure hydrocephalus
icd:10:I200,2,22,22,Unstable angina
icd:10:K226,2,22,22,Gastro-esophageal laceration-hemorrhage syndrome
icd:10:K661,2,22,22,Hemoperitoneum
icd:10:M952,2,22,22,Other acquired deformity of head
icd:10:T85898A,2,22,21,"Other specified complication of other internal prosthetic devices, implants and grafts, initial encounter"
icd:9:1533,2,22,21,Malignant neoplasm of sigmoid colon
icd:9:2930,2,22,22,Delirium due to conditions classified elsewhere
icd:9:35801,2,22,20,Myasthenia gravis with (acute) exacerbation
icd:9:4588,2,22,22,Other specified hypotension
icd:9:7810,2,22,21,Abnormal involuntary movements
icd:9:8220,2,22,21,Closed fracture of patella
icd:9:85222,2,22,22,"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
icd:9:92410,2,22,22,Contusion of lower leg
icd:9:99688,2,22,14,"Complications of transplanted organ, stem cell"
icd:10:E870,2,21,18,Hyperosmolality and hypernatremia
icd:10:G40209,2,21,19,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus"
icd:10:G629,2,21,20,"Polyneuropathy, unspecified"
icd:10:G9782,2,21,19,Other postprocedural complications and disorders of nervous system
icd:10:I493,2,21,21,Ventricular premature depolarization
icd:10:I723,2,21,19,Aneurysm of iliac artery
icd:10:J129,2,21,21,"Viral pneumonia, unspecified"
icd:10:J9509,2,21,17,Other tracheostomy complication
icd:10:M86172,2,21,20,"Other acute osteomyelitis, left ankle and foot"
icd:10:N201,2,21,21,Calculus of ureter
icd:10:N813,2,21,21,Complete uterovaginal prolapse
icd:10:R0902,2,21,21,Hypoxemia
icd:9:1622,2,21,20,Malignant neoplasm of main bronchus
icd:9:20400,2,21,20,"Acute lymphoid leukemia, without mention of having achieved remission"
icd:9:23875,2,21,20,"Myelodysplastic syndrome, unspecified"
icd:9:70714,2,21,20,Ulcer of heel and midfoot
icd:9:81209,2,21,21,Other closed fracture of upper end of humerus
icd:10:A414,2,20,20,Sepsis due to anaerobes
icd:10:C9100,2,20,18,Acute lymphoblastic leukemia not having achieved remission
icd:10:I7102,2,20,20,Dissection of abdominal aorta
icd:10:N131,2,20,20,"Hydronephrosis with ureteral stricture, not elsewhere classified"
icd:10:N812,2,20,19,Incomplete uterovaginal prolapse
icd:9:1578,2,20,20,Malignant neoplasm of other specified sites of pancreas
icd:9:44481,2,20,19,Embolism and thrombosis of iliac artery
icd:9:5718,2,20,20,Other chronic nonalcoholic liver disease
icd:9:8072,2,20,20,Closed fracture of sternum
icd:9:V714,2,20,20,Observation following other accident
icd:10:G35,1,44,38,Multiple sclerosis
icd:10:R1310,1,32,32,"Dysphagia, unspecified"
icd:9:3071,1,30,14,Anorexia nervosa
icd:9:44321,1,30,29,Dissection of carotid artery
icd:9:44421,1,29,27,Arterial embolism and thrombosis of upper extremity
icd:9:481,1,27,27,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
icd:10:T85590A,1,26,24,"Other mechanical complication of bile duct prosthesis, initial encounter"
icd:10:R1032,1,25,25,Left lower quadrant pain
icd:10:R502,1,25,22,Drug induced fever
icd:9:V5883,1,25,21,Encounter for therapeutic drug monitoring
icd:10:F39,1,24,23,Unspecified mood [affective] disorder
icd:10:J4551,1,24,22,Severe persistent asthma with (acute) exacerbation
icd:10:R1012,1,24,19,Left upper quadrant pain
icd:9:41513,1,23,23,Saddle embolus of pulmonary artery
icd:9:4413,1,23,23,"Abdominal aneurysm, ruptured"
icd:10:I509,1,22,22,"Heart failure, unspecified"
icd:10:T8351XA,1,22,18,"Infection and inflammatory reaction due to indwelling urinary catheter, initial encounter"
icd:9:3960,1,22,21,Mitral valve stenosis and aortic valve stenosis
icd:9:4809,1,22,22,"Viral pneumonia, unspecified"
icd:9:5307,1,22,22,Gastroesophageal laceration-hemorrhage syndrome
icd:9:78902,1,22,22,"Abdominal pain, left upper quadrant"
icd:9:25541,1,21,18,Glucocorticoid deficiency
icd:9:2798,1,21,1,Other specified disorders involving the immune mechanism
icd:9:325,1,21,18,Phlebitis and thrombophlebitis of intracranial venous sinuses
icd:9:5362,1,21,14,Persistent vomiting
icd:9:99739,1,21,21,Other respiratory complications
icd:10:J80,1,20,20,Acute respiratory distress syndrome
icd:10:K50012,1,20,19,Crohn's disease of small intestine with intestinal obstruction
icd:10:M960,1,20,20,Pseudarthrosis after fusion or arthrodesis
icd:9:44324,1,20,19,Dissection of vertebral artery
icd:9:48284,1,20,20,Pneumonia due to Legionnaires' disease
icd:9:5552,1,20,15,Regional enteritis of small intestine with large intestine
icd:9:5723,1,20,19,Portal hypertension
icd:9:7220,1,20,20,Displacement of cervical intervertebral disc without myelopathy
icd:9:81342,1,20,19,Other closed fractures of distal end of radius (alone)
icd:10:C252,1,19,18,Malignant neoplasm of tail of pancreas
icd:10:G43109,1,19,18,"Migraine with aura, not intractable, without status migrainosus"
icd:10:I0981,1,19,19,Rheumatic heart failure
icd:10:K311,1,19,16,Adult hypertrophic pyloric stenosis
icd:10:K8500,1,19,14,Idiopathic acute pancreatitis without necrosis or infection
icd:10:M940,1,19,17,Chondrocostal junction syndrome [Tietze]
icd:10:T8451XA,1,19,16,"Infection and inflammatory reaction due to internal right hip prosthesis, initial encounter"
icd:9:4131,1,19,17,Prinzmetal angina
icd:9:5551,1,19,17,Regional enteritis of large intestine
icd:9:5720,1,19,16,Abscess of liver
icd:9:5724,1,19,17,Hepatorenal syndrome
icd:9:7291,1,19,19,"Myalgia and myositis, unspecified"
icd:9:7806,1,19,18,Fever
icd:10:B3781,1,18,18,Candidal esophagitis
icd:10:C569,1,18,15,Malignant neoplasm of unspecified ovary
icd:10:C7800,1,18,18,Secondary malignant neoplasm of unspecified lung
icd:10:E1310,1,18,17,Other specified diabetes mellitus with ketoacidosis without coma
icd:10:I9589,1,18,15,Other hypotension
icd:10:J40,1,18,18,"Bronchitis, not specified as acute or chronic"
icd:10:K208,1,18,18,Other esophagitis
icd:10:K5190,1,18,16,"Ulcerative colitis, unspecified, without complications"
icd:10:K623,1,18,16,Rectal prolapse
icd:10:K8043,1,18,18,Calculus of bile duct with acute cholecystitis with obstruction
icd:10:R410,1,18,18,"Disorientation, unspecified"
icd:10:T18128A,1,18,18,"Food in esophagus causing other injury, initial encounter"
icd:9:28419,1,18,18,Other pancytopenia
icd:9:30301,1,18,17,"Acute alcoholic intoxication in alcoholism, continuous"
icd:10:C7932,1,17,16,Secondary malignant neoplasm of cerebral meninges
icd:10:G360,1,17,7,Neuromyelitis optica [Devic]
icd:10:J1008,1,17,17,Influenza due to other identified influenza virus with other specified pneumonia
icd:10:K743,1,17,14,Primary biliary cirrhosis
icd:10:N3041,1,17,8,Irradiation cystitis with hematuria
icd:10:T83512A,1,17,14,"Infection and inflammatory reaction due to nephrostomy catheter, initial encounter"
icd:9:42842,1,17,16,Chronic combined systolic and diastolic heart failure
icd:9:5303,1,17,16,Stricture and stenosis of esophagus
icd:9:5305,1,17,15,Dyskinesia of esophagus
icd:9:64893,1,17,17,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication"
icd:9:65421,1,17,17,"Previous cesarean delivery, delivered, with or without mention of antepartum condition"
icd:10:E0500,1,16,14,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
icd:10:K5090,1,16,13,"Crohn's disease, unspecified, without complications"
icd:10:K852,1,16,15,Alcohol induced acute pancreatitis
icd:10:K8591,1,16,15,"Acute pancreatitis with uninfected necrosis, unspecified"
icd:10:K860,1,16,13,Alcohol-induced chronic pancreatitis
icd:10:M4726,1,16,16,"Other spondylosis with radiculopathy, lumbar region"
icd:10:T85520A,1,16,16,"Displacement of bile duct prosthesis, initial encounter"
icd:9:1363,1,16,16,Pneumocystosis
icd:9:1984,1,16,16,Secondary malignant neoplasm of other parts of nervous system
icd:9:2766,1,16,16,Fluid overload disorder
icd:9:4232,1,16,16,Constrictive pericarditis
icd:9:4401,1,16,15,Atherosclerosis of renal artery
icd:9:53540,1,16,16,"Other specified gastritis, without mention of hemorrhage"
icd:9:60490,1,16,15,"Orchitis and epididymitis, unspecified"
icd:9:9654,1,16,15,"Poisoning by aromatic analgesics, not elsewhere classified"
icd:10:C160,1,15,13,Malignant neoplasm of cardia
icd:10:C719,1,15,15,"Malignant neoplasm of brain, unspecified"
icd:10:F200,1,15,12,Paranoid schizophrenia
icd:10:F445,1,15,15,Conversion disorder with seizures or convulsions
icd:10:G928,1,15,15,Other toxic encephalopathy
icd:10:I082,1,15,14,Rheumatic disorders of both aortic and tricuspid valves
icd:10:I469,1,15,15,"Cardiac arrest, cause unspecified"
icd:10:I6381,1,15,15,Other cerebral infarction due to occlusion or stenosis of small artery
icd:10:I878,1,15,15,Other specified disorders of veins
icd:10:I97191,1,15,15,Other postprocedural cardiac functional disturbances following other surgery
icd:10:J0410,1,15,4,Acute tracheitis without obstruction
icd:10:K224,1,15,15,Dyskinesia of esophagus
icd:10:K7041,1,15,11,Alcoholic hepatic failure with coma
icd:10:L7634,1,15,15,Postprocedural seroma of skin and subcutaneous tissue following other procedure
icd:10:M542,1,15,15,Cervicalgia
icd:10:M8008XA,1,15,14,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
icd:10:Q2543,1,15,15,Congenital aneurysm of aorta
icd:10:R200,1,15,15,Anesthesia of skin
icd:9:1510,1,15,15,Malignant neoplasm of cardia
icd:9:1536,1,15,14,Malignant neoplasm of ascending colon
icd:9:1579,1,15,14,"Malignant neoplasm of pancreas, part unspecified"
icd:9:1888,1,15,15,Malignant neoplasm of other specified sites of bladder
icd:9:34889,1,15,15,Other conditions of brain
icd:9:4571,1,15,11,Other lymphedema
icd:9:5300,1,15,12,Achalasia and cardiospasm
icd:9:53510,1,15,15,"Atrophic gastritis, without mention of hemorrhage"
icd:10:C155,1,14,12,Malignant neoplasm of lower third of esophagus
icd:10:C19,1,14,10,Malignant neoplasm of rectosigmoid junction
icd:10:C342,1,14,13,"Malignant neoplasm of middle lobe, bronchus or lung"
icd:10:C784,1,14,13,Secondary malignant neoplasm of small intestine
icd:10:F29,1,14,13,Unspecified psychosis not due to a substance or known physiological condition
icd:10:I222,1,14,13,Subsequent non-ST elevation (NSTEMI) myocardial infarction
icd:10:I300,1,14,14,Acute nonspecific idiopathic pericarditis
icd:10:I713,1,14,13,"Abdominal aortic aneurysm, ruptured"
